TeamId,Name,Tag,Region,EstablishedDate
9176102,Team Arava,ARAVA,Unknown,2000-01-01
2799801,KanayaGaming,KG,Unknown,2000-01-01
7391558,BOSS ANDRE,BA,Unknown,2000-01-01
1648005,Inter Active Philippines,IAP,Unknown,2000-01-01
8080754,Panda5,Panda5,Unknown,2000-01-01
8936382,Indonesia,IDN,Unknown,2000-01-01
8732399,pangolier s javelinom,43X,Unknown,2000-01-01
9175367,Business Club,bc,Unknown,2000-01-01
9824806,捕畜小分队,,Unknown,2000-01-01
8556648,Osh-Tekk Warriors,OTW,Unknown,2000-01-01
2136210,Leetss Do It,asd,Unknown,2000-01-01
8606828,Wildcard,WC,Unknown,2000-01-01
9729767,BloodyRose,BR,Unknown,2000-01-01
8318683,IVY,IVY,Unknown,2000-01-01
6658560,Guardian Gaming,GG,Unknown,2000-01-01
9277978,内蒙古的星空,DLG,Unknown,2000-01-01
9776488,哈哈先生,HHGGBooM！,Unknown,2000-01-01
9187132,MAG.ID,MAG.ID,Unknown,2000-01-01
8495691,TEAM TEAM,TT,Unknown,2000-01-01
9824555,BULDOZER,Бульдозер,Unknown,2000-01-01
7893914,TEAM SIDERAL,SKERES ,Unknown,2000-01-01
688388,ThePrimeSIAPA?!,TPSIAPA?,Unknown,2000-01-01
9476852,UZUMAKI,Uzumaki,Unknown,2000-01-01
8406333,kastuDon,kastuDon,Unknown,2000-01-01
8638425,Kinkalow,KKL,Unknown,2000-01-01
161707,mouz,mouz,Unknown,2000-01-01
7218194,FrozenDawn Club,FD,Unknown,2000-01-01
1949879,Proxima E-Sports,Proxima,Unknown,2000-01-01
1929695,KappaGam!ng,Kappa,Unknown,2000-01-01
6904952,Dark Sided,DS,Unknown,2000-01-01
9957513,Ballas,Ballas,Unknown,2000-01-01
9867013,teamMopsi,mopsi,Unknown,2000-01-01
8261882,felt,felt,Unknown,2000-01-01
2275267,TELL WHY_ANIME?,TWA,Unknown,2000-01-01
7454504,Demon Esport,DME,Unknown,2000-01-01
1718551,ROOT-gaming.com,,Unknown,2000-01-01
9103873,Infamous Astra,infamous.A,Unknown,2000-01-01
8856078,Balrogs Academy™,Balrogs.A,Unknown,2000-01-01
8384158,Into The Breach,ITB,Unknown,2000-01-01
7528264,bmstu,bmstu,Unknown,2000-01-01
7801839,Paladin,,Unknown,2000-01-01
805172,Avant Garde Gaming,Avant,Unknown,2000-01-01
9743822,Teiko,,Unknown,2000-01-01
8048279,Egoboys,EGO,Unknown,2000-01-01
5946837,Galkynysh,GLKN,Unknown,2000-01-01
9162109,North Macedonia,MKD,Unknown,2000-01-01
6951684,M11 SLAYERS,M11SLAYERS,Unknown,2000-01-01
8741331,Atomic Esports,Atomic,Unknown,2000-01-01
1884355,Void Boys,VB,Unknown,2000-01-01
9460640,ValenTiny,tiny,Unknown,2000-01-01
9678463,Estar Backs,EB,Unknown,2000-01-01
3008699,Los Magikarps,Karp,Unknown,2000-01-01
8039920,Backstab Boys,STABS,Unknown,2000-01-01
6350308,"Team ""ENEMY""",ENEMY,Unknown,2000-01-01
8756744,Crayon Shin-chan,CSC,Unknown,2000-01-01
9467024,Dominion,,Unknown,2000-01-01
2019384,[Flip.Sid3 Tactics],[F.3],Unknown,2000-01-01
9878408,Elite Eclipse,,Unknown,2000-01-01
6685947,AQuaMan,AQM,Unknown,2000-01-01
6409189,Team Empire Hope,EmpireH,Unknown,2000-01-01
8077147,Omegalil,Omega,Unknown,2000-01-01
733290,DoTa GoD SLaYeRs,[DGS],Unknown,2000-01-01
5219214,BG,,Unknown,2000-01-01
7958190,eu vou estudo,enem,Unknown,2000-01-01
8936402,Team Thailand,THA,Unknown,2000-01-01
5896332,Sterling Global Dragons,SGD,Unknown,2000-01-01
1665758,羊村,FGK,Unknown,2000-01-01
6212920,Winstrike Team,Winstrike,Unknown,2000-01-01
8741737,Team Sphinxx,Ts,Unknown,2000-01-01
6685839,FANTASTIC ,F5,Unknown,2000-01-01
8980561,Block Roar Esports,Block,Unknown,2000-01-01
9547653,Castawake ,,Unknown,2000-01-01
2413439,Team SatuDuaTiga,123,Unknown,2000-01-01
8575071,NoMarci,NoMarci,Unknown,2000-01-01
7612347,Panda Gaming,,Unknown,2000-01-01
2676492,Virus Nirvana,VirusN,Unknown,2000-01-01
1148284,MVP Phoenix,MVP,Unknown,2000-01-01
6411545,Team DOGE,DOGE,Unknown,2000-01-01
4542817,Washed Up,WashedUp,Unknown,2000-01-01
7153614,top1sng,top1sng,Unknown,2000-01-01
8262059,DALANJING GAMING,DG,Unknown,2000-01-01
2276247,Mamas-Boys,MB,Unknown,2000-01-01
4009019,Fox Gaming Youth,FoxY,Unknown,2000-01-01
9449748,DMS,DMS,Unknown,2000-01-01
5269247,Team Hellas,HELLAS,Unknown,2000-01-01
9323850,Chompers X,Chomp,Unknown,2000-01-01
8124688,Kylin Esports Club,Kylin,Unknown,2000-01-01
7894580,miaww^^,miaww^^,Unknown,2000-01-01
9834249,Ji est'',.Jst,Unknown,2000-01-01
5207190,Admiral Dota,Admiral,Unknown,2000-01-01
9797234,Team Sin Compromiso,[TSC],Unknown,2000-01-01
9011262,STARFAll,STARFAll |,Unknown,2000-01-01
8893663,Design Machine,DesignM,Unknown,2000-01-01
5992206,KSY,KSY,Unknown,2000-01-01
433549,TheRerereTRY,TR,Unknown,2000-01-01
5242529,Unchained Esports,UNC,Unknown,2000-01-01
1994818,We Got Late Game,LATEGAME,Unknown,2000-01-01
9472684,CR4ZY,CR4ZY,Unknown,2000-01-01
9499428,skem&friends,,Unknown,2000-01-01
8546012,Celestials,CS,Unknown,2000-01-01
9563849,Prodigy of God,pog,Unknown,2000-01-01
1464407,Immunity Dota,iM,Unknown,2000-01-01
8118197,Infamous Gaming,INF,Unknown,2000-01-01
8726159,Taw Gang,TG,Unknown,2000-01-01
7542075,escape,aom,Unknown,2000-01-01
8415816," Team HaliFFat",DaGG,Unknown,2000-01-01
9849814,山东好男人,,Unknown,2000-01-01
9395449,Outcast,OC,Unknown,2000-01-01
9736257,Roselia,,Unknown,2000-01-01
